name,language
accessible-graphs,Python
graphs-for-economics,Python
geometric-graphs,Python
hitchhiker-graphs,Python
ngram-graphs,Python
mlx-graphs,Python
dsbox-graphs,Python
app-graphs,Python
pywhy-graphs,Python
stallings-graphs,Python
tinc-graphs,Python
logs2graphs,Python
python-graphs,Python
hexlet-graphs,Python
boolean-cayley-graphs,Python
